wav,fnu
17.9587,1.562810
17.9725,1.553100
17.9863,1.600860
18.0001,1.656810
18.0140,1.661790
18.0278,1.607590
18.0417,1.665270
18.0556,1.676650
18.0695,1.672500
18.0834,1.695950
18.0973,1.644500
18.1112,1.668270
18.1252,1.651660
18.1391,1.594490
18.1531,1.696560
18.1671,1.784110
18.1810,1.795210
18.1950,1.755300
18.2090,1.833130
18.2230,1.744350
18.2371,1.759650
18.2511,1.773130
18.2652,1.769040
18.2792,1.859090
18.2933,1.804440
18.3074,1.793890
18.3214,1.791140
18.3355,1.794970
18.3496,1.799320
18.3638,1.813640
18.3779,1.741840
18.3920,1.834280
18.4062,1.867420
18.4204,1.822220
18.4345,1.827870
18.4487,1.885240
18.4629,1.811610
18.4771,1.833310
18.4913,1.889690
18.5056,1.886770
18.5198,1.879490
18.5341,1.900370
18.5483,1.872810
18.5626,1.853320
18.5769,1.868580
18.5912,1.877880
18.6055,1.886750
18.6198,1.900600
18.6341,1.924570
18.6485,1.917160
18.6628,1.925960
18.6772,1.873560
18.6916,1.868520
18.7059,1.866430
18.7203,1.848310
18.7347,1.894610
18.7492,1.900220
18.7636,1.948210
18.7780,1.900850
18.7925,2.036650
18.8069,2.061200
18.8214,1.993670
18.8359,1.949950
18.8504,1.949350
18.8649,1.965840
18.8794,2.000650
18.8939,1.943260
18.9085,2.020880
18.9230,2.065740
18.9376,2.006990
18.9522,1.969430
18.9667,1.955820
18.9813,1.956400
18.9960,1.891930
19.0106,1.946380
19.0252,1.933310
19.0398,1.900150
19.0545,1.855810
19.0692,1.973790
19.0838,1.953980
19.0985,1.975950
19.1132,1.902180
19.1279,1.982720
19.1426,2.114490
19.1574,1.981870
19.1721,1.972660
19.1869,1.991880
19.2016,1.976740
19.2164,2.064480
19.2312,1.808080
19.2460,2.039230
19.2608,1.963950
19.2747,1.930480
19.2902,2.031750
19.3053,1.982420
19.3061,2.000270
19.3222,1.873430
19.3383,1.936300
19.3544,1.986620
19.3705,1.936790
19.3867,1.970790
19.4028,1.889480
19.4190,1.831110
19.4352,1.880540
19.4514,1.899120
19.4676,1.939770
19.4839,1.939010
19.5001,1.914410
19.5163,1.917310
19.5326,1.886920
19.5489,1.860420
19.5652,1.923710
19.5815,1.927570
19.5978,1.969050
19.6142,1.969690
19.6305,1.852560
19.6469,1.871560
19.6633,1.853770
19.6797,1.872670
19.6961,1.893190
19.7125,1.865570
19.7289,1.875240
19.7454,1.837510
19.7618,1.791620
19.7783,1.801040
19.7948,1.787720
19.8113,1.822050
19.8278,1.809160
19.8444,1.807080
20.0438,1.772000
20.0605,1.819880
20.0772,1.800400
20.0940,1.804400
20.1107,1.847740
20.1275,1.768430
20.1443,1.740830
20.1611,1.741250
20.1779,1.696880
20.1947,1.783310
20.2115,1.784570
20.2284,1.667930
20.2452,1.688150
20.2621,1.652970
20.2790,1.618710
20.2959,1.677550
20.3128,1.641090
20.3298,1.668170
20.3467,1.764050
20.3637,1.683480
20.3806,1.646730
20.3976,1.689150
20.4146,1.596700
20.4317,1.584610
20.4487,1.639260
20.4657,1.621010
20.4828,1.695240
20.4999,1.682810
20.5170,1.674830
20.5341,1.640880
20.5512,1.571120
20.5683,1.551430
20.5855,1.621110
20.6026,1.605760
20.6198,1.626030
20.6370,1.717310
20.6542,1.581680
