# JD             Magnitude   Uncertainty   HQuncertainty   Band Observer_Code Comment_Code(s) Comp_Star_1 Comp_Star_2 Charts         Comments                                         Transfomed Airmass   Validation_Flag Cmag   Kmag   HJD   Star_Name Observer_Affiliation Measurement_Method Grouping_Method ADS_Reference   Digitizer   Credit
  2451799.54     11.6        ""            ""              Vis. KTO  "" ""          ""          ""             "EP 12.04"                                       ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451801.55     11.7        ""            ""              Vis. KTO  "" ""          ""          ""             "EP 14.05"                                       ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451802.53     11.6        ""            ""              Vis. KTO  "" ""          ""          ""             "EP 15.03"                                       ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451804.55     11.7        ""            ""              Vis. KTO  "" ""          ""          ""             "EP 17.05"                                       ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451805.55     11.6        ""            ""              Vis. KTO  "" ""          ""          ""             "EP 18.05"                                       ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451811.54     11.6        ""            ""              Vis. KTO  "" ""          ""          ""             "EP 24.04"                                       ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451813.35     11.6        ""            ""              Vis. KTO  "" ""          ""          ""             "EP 25.85"                                       ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451814.42     11.6        ""            ""              Vis. KTO  "" ""          ""          ""             "EP 26.92"                                       ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451815.42     11.6        ""            ""              Vis. KTO  "" ""          ""          ""             "EP 27.92"                                       ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451816.51     11.6        ""            ""              Vis. KTO  "" ""          ""          ""             "EP 29.01"                                       ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451818.51     11.7        ""            ""              Vis. KTO  "" ""          ""          ""             "CT 01.01"                                       ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451819.51     11.5        ""            ""              Vis. KTO  "" ""          ""          ""             "CT 02.01"                                       ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451824.37     11.7        ""            ""              Vis. KTO  "" ""          ""          ""             "CT 06.87"                                       ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451840.44     11.7        ""            ""              Vis. KTO  "" ""          ""          ""             "CT 22.94"                                       ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451954.283    12.1        ""            ""              Vis. MUY  K  ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451954.2889   11.7        ""            ""              Vis. RMQ  "" 117         ""          HENDEN         ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451955.2583   11.7        ""            ""              Vis. RMQ  "" 113         126         HENDEN         ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451956.274    11.6        ""            ""              Vis. MUY  K  ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451959.2688   11.7        ""            ""              Vis. RMQ  "" 113         126         HENDEN         ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
