## (from tabmap V5.95 (2014-10-19)) 2015-07-08T10:36:32
#---------------------------------------------------------------------------
#-- J/AJ/118/1043 Herbig Ae/Be stars catalog (Herbst+, 1999)
#--------------------------------------------------------------------------
#---Table: J/AJ/118/1043/./other/rz_psc.dat Other stars individual light curves  (22 records)
#-------------------------------------------------------------------------------
#     Label Format Unit  Explanations
#-------------------------------------------------------------------------------
#        JD F9.3   d     Julian date (JD-2440000) (1)
#      Vmag F5.2   mag   V magnitude
#       U-B F5.2   mag   ?=99.99 U-B colour index
#       B-V F5.2   mag   ?=99.99 B-V colour index
#       V-R F5.2   mag   ?=99.99 V-R colour index
#       R-I F5.2   mag   ?=99.99 R-I colour index
#       Ref A2     ---   Reference in refs.dat file
#      Note A1     ---   [*] Note on V-R colour index (2)
#-------------------------------------------------------------------------------
#Note (1): JD may be negative (for dates before 2440000)
#Note (2): *: the V-R magnitudes given were made in the Johnson system
#-------------------------------------------------------------------------------
--------------------------------------------
#         |     |     |     |     |     |  |N
#         |     |     |     |     |     |  |o
#         |     |     |     |     |     | R|t
       JD| Vmag|  U-B|  B-V|  V-R|  R-I|ef|e
 8557.281|11.84|99.99| 0.78| 0.61|99.99|86|*
 8558.287|11.47| 0.41| 0.73| 0.61|99.99|86|*
 8559.302|11.67|99.99| 0.75| 0.58|99.99|86|*
 8560.281|11.70|99.99| 0.75| 0.62|99.99|86|*
 8562.366|11.64| 0.15| 0.74| 0.62|99.99|86|*
 8567.277|11.67|99.99| 0.76| 0.63|99.99|86|*
 8570.363|12.58| 0.54| 0.88| 0.59|99.99|86|*
 8585.347|11.67|99.99| 0.72| 0.60|99.99|86|*
 8586.258|11.65|99.99| 0.73| 0.58|99.99|86|*
 8816.410|11.61| 0.14| 0.70| 0.58|99.99|86|*
 8820.431|11.65|99.99| 0.78| 0.56|99.99|86|*
 8820.441|11.69| 0.23| 0.74| 0.61|99.99|86|*
 8821.453|11.71|99.99| 0.73| 0.62|99.99|86|*
 8822.361|11.69| 0.22| 0.69| 0.61|99.99|86|*
 8822.376|11.70| 0.20| 0.74| 0.58|99.99|86|*
 8822.388|11.71| 0.14| 0.72| 0.59|99.99|86|*
 8822.411|11.71| 0.14| 0.71| 0.62|99.99|86|*
 8822.417|11.72|99.99| 0.75| 0.61|99.99|86|*
 8822.421|11.70| 0.14| 0.71| 0.62|99.99|86|*
 8823.460|11.61| 0.10| 0.73| 0.56|99.99|86|*
 8824.446|11.62| 0.12| 0.70| 0.56|99.99|86|*
 8828.441|11.66| 0.13| 0.74| 0.61|99.99|86|*
 8830.471|11.64|99.99| 0.74| 0.58|99.99|86|*
 8831.455|11.86| 0.27| 0.81| 0.67|99.99|86|*
 8832.453|11.70| 0.17| 0.74| 0.63|99.99|86|*
 8833.456|13.15| 0.11| 0.83|99.99|99.99|86|*
 8834.464|11.99| 0.19| 0.79| 0.65|99.99|86|*
 8836.468|11.74| 0.17| 0.77| 0.64|99.99|86|*
 8843.462|11.84| 0.14| 0.73| 0.61|99.99|86|*
 8844.395|11.73| 0.10| 0.73| 0.58|99.99|86|*
 8845.403|11.68| 0.08| 0.74| 0.60|99.99|86|*
 8846.396|11.75| 0.23| 0.73| 0.64|99.99|86|*
 8848.340|11.76| 0.21| 0.74| 0.60|99.99|86|*
 8854.496|11.70|99.99| 0.77|99.99|99.99|86|*
 8855.482|11.64|99.99| 0.77| 0.56|99.99|86|*
 8856.481|11.69| 0.19| 0.72| 0.60|99.99|86|*
 8857.438|11.71|99.99| 0.74| 0.63|99.99|86|*
 8859.462|11.82|99.99| 0.83|99.99|99.99|86|*
 8862.443|11.76|99.99| 0.74| 0.62|99.99|86|*
 8863.426|11.71|99.99| 0.74| 0.59|99.99|86|*
 8871.441|11.79|99.99| 0.77| 0.63|99.99|86|*
 8872.429|11.70|99.99| 0.74| 0.60|99.99|86|*
 8873.427|11.74|99.99| 0.75| 0.63|99.99|86|*
 8874.432|11.65|99.99| 0.77| 0.59|99.99|86|*
 8875.456|11.74|99.99| 0.70| 0.60|99.99|86|*
 8876.435|11.64|99.99| 0.69| 0.59|99.99|86|*
 8877.465|11.64|99.99| 0.73| 0.60|99.99|86|*
 8878.425|11.66|99.99| 0.76| 0.57|99.99|86|*
 8880.428|11.37|99.99| 0.94| 0.32|99.99|86|*
 8882.427|11.68|99.99| 0.68| 0.62|99.99|86|*
 8883.417|11.96|99.99| 0.76| 0.62|99.99|86|*
 8883.426|12.00| 0.16| 0.72| 0.64|99.99|86|*
 8883.438|11.99| 0.14| 0.75| 0.64|99.99|86|*
 8883.445|11.99| 0.17| 0.78| 0.63|99.99|86|*
 8883.482|11.99| 0.18| 0.80| 0.62|99.99|86|*
 8888.386|11.74|99.99| 0.76| 0.62|99.99|86|*
 8890.394|11.66| 0.11| 0.76| 0.59|99.99|86|*
 8891.464|11.86|99.99| 0.78| 0.68|99.99|86|*
 8891.501|11.89| 0.23| 0.82| 0.64|99.99|86|*
 8891.519|11.90|99.99| 0.82| 0.67|99.99|86|*
 8893.372|11.58|99.99| 0.71| 0.58|99.99|86|*
 8899.384|11.71| 0.17| 0.74| 0.61|99.99|86|*
 8900.282|11.62| 0.17| 0.72| 0.58|99.99|86|*
 8901.307|11.62| 0.09| 0.73| 0.59|99.99|86|*
 8905.306|11.66| 0.09| 0.71| 0.60|99.99|86|*
 8906.265|11.70| 0.12| 0.70| 0.60|99.99|86|*
 8910.405|11.61| 0.10| 0.73| 0.53|99.99|86|*
 8911.369|11.60| 0.11| 0.72| 0.56|99.99|86|*
 8914.287|11.59| 0.12| 0.73| 0.56|99.99|86|*
 8915.286|11.78| 0.23| 0.66| 0.62|99.99|86|*
 8923.275|11.64| 0.14| 0.72| 0.58|99.99|86|*
 8924.266|11.65| 0.15| 0.74| 0.58|99.99|86|*
 8926.285|11.68| 0.27| 0.78| 0.62|99.99|86|*
 8927.268|11.69| 0.23| 0.77| 0.62|99.99|86|*
 8931.290|12.69| 0.32| 0.92| 0.83|99.99|86|*
 8931.305|12.63| 0.34| 0.92| 0.81|99.99|86|*
 8931.309|12.62| 0.29| 0.94| 0.81|99.99|86|*
 8931.336|12.53| 0.31| 0.90| 0.81|99.99|86|*
 8931.340|12.53| 0.36| 0.89| 0.80|99.99|86|*
 8931.344|12.53| 0.29| 0.90| 0.81|99.99|86|*
 8931.404|12.47| 0.28| 0.89| 0.78|99.99|86|*
 8931.410|12.48| 0.34| 0.91| 0.78|99.99|86|*
 8931.414|12.50| 0.37| 0.87| 0.79|99.99|86|*
 8931.472|12.59| 0.12| 0.89| 0.76|99.99|86|*
 8931.476|12.61| 0.34| 0.87| 0.75|99.99|86|*
 8932.115|11.95|99.99| 0.83| 0.69|99.99|86|*
 8932.210|11.87|99.99| 0.82| 0.69|99.99|86|*
 8932.300|11.87|99.99| 0.82| 0.68|99.99|86|*
 8932.425|11.89|99.99| 0.78| 0.72|99.99|86|*
 8933.132|11.84| 0.25| 0.86| 0.67|99.99|86|*
 8933.219|11.96| 0.34| 0.85| 0.74|99.99|86|*
 8933.228|11.94| 0.30| 0.89| 0.70|99.99|86|*
