\INPUT_FILE = /mscadata/ETSS-prep/KELT/testall/raw/KELT_N02_lc_30387_V01_west_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri Oct 27, 07:14:20 2006"               
\STOP_DATE = "Mon Nov 24, 09:41:52 2008"               
\fixlen = T
\NUMRECORDS = 636      
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Apr 09, 14:56:02 2015
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|        double|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454777.889800 15.90941 0.02799 
 2454777.899583 15.83118 0.02695 
 2454777.909374 15.85156 0.02781 
 2454777.921343 15.83236 0.02678 
 2454777.940549 15.87917 0.02713 
 2454777.950142 15.86962 0.02917 
 2454778.831529 15.87809 0.03446 
 2454778.846367 15.80738 0.03617 
 2454778.853790 15.78988 0.03499 
 2454778.861213 15.84571 0.03349 
 2454778.868624 15.81874 0.03346 
 2454778.878431 15.82237 0.03120 
 2454787.760593 15.91147 0.02707 
 2454787.770390 15.89866 0.02964 
 2454787.780192 15.91773 0.02844 
 2454787.790010 15.88361 0.03089 
 2454787.799813 15.90235 0.02978 
 2454787.809628 15.91536 0.03117 
 2454787.814170 15.87467 0.02984 
 2454788.760675 16.00653 0.02656 
 2454788.770476 16.01022 0.02739 
 2454788.780281 16.00940 0.02759 
 2454788.790084 16.01921 0.02778 
 2454788.799879 15.95148 0.02923 
 2454788.809668 15.95597 0.03017 
 2454788.814221 15.99734 0.02779 
 2454788.818762 15.98601 0.02949 
 2454788.823294 15.97698 0.02900 
 2454788.827832 15.98926 0.03036 
 2454788.832374 15.96651 0.02981 
 2454788.836910 15.93143 0.03184 
 2454788.841446 15.95933 0.02881 
 2454788.845986 15.91596 0.02726 
 2454788.850528 15.93218 0.02869 
 2454788.855076 15.93711 0.03006 
 2454788.859608 15.95657 0.03072 
 2454788.864154 15.93060 0.03167 
 2454788.868691 15.97473 0.03079 
 2454788.873233 15.98660 0.03202 
 2454788.877776 15.95733 0.03257 
 2454788.882322 15.89260 0.03281 
 2454788.886859 15.90511 0.03172 
 2454788.891403 15.86849 0.03361 
 2454788.895945 15.93526 0.03319 
 2454788.900486 15.93303 0.03321 
 2454788.905040 15.93857 0.03279 
 2454788.909582 15.84978 0.03584 
 2454788.914117 15.96795 0.03553 
 2454788.918652 15.90263 0.03536 
 2454789.759306 15.84012 0.02073 
 2454789.771275 15.84796 0.02139 
 2454789.783237 15.91388 0.02347 
 2454789.795183 15.89321 0.02439 
 2454789.807151 15.81357 0.02495 
 2454789.814568 15.87022 0.02683 
 2454789.821996 15.91139 0.02726 
 2454789.829414 15.83260 0.02920 
 2454789.836838 15.84191 0.02737 
 2454789.844491 15.87956 0.02991 
 2454789.852143 15.82195 0.03061 
 2454789.859778 15.83837 0.03136 
 2454789.867427 15.87199 0.03263 
 2454789.875074 15.83184 0.03271 
 2454789.882719 15.84930 0.03299 
 2454789.887256 15.83074 0.03263 
 2454789.891794 15.86416 0.03249 
 2454789.896334 15.93378 0.03137 
 2454789.900872 15.86046 0.03308 
 2454789.905411 15.86871 0.03392 
 2454789.909957 15.79934 0.03381 
 2454789.916876 15.86018 0.03498 
 2454790.755908 15.82256 0.02472 
 2454790.767868 15.84453 0.02520 
 2454790.779828 15.83287 0.02671 
 2454790.791785 15.81629 0.02649 
 2454790.803742 15.86304 0.02487 
 2454790.811168 15.82479 0.02751 
 2454790.818566 15.86171 0.02602 
 2454790.825983 15.85450 0.02708 
 2454790.833395 15.81022 0.02703 
 2454790.841044 15.89221 0.02588 
 2454790.848688 15.86494 0.02868 
 2454790.856332 15.80491 0.02759 
 2454790.863974 15.88212 0.03007 
 2454790.871634 15.88323 0.02982 
 2454790.879266 15.87361 0.03029 
 2454790.883796 15.83174 0.02861 
 2454790.888338 15.90740 0.02940 
 2454790.892875 15.83389 0.02898 
 2454790.897413 15.85457 0.03004 
 2454790.901949 15.86594 0.02890 
 2454790.906473 15.86621 0.02863 
 2454790.913395 15.84878 0.03217 
 2454791.754248 15.79736 0.02262 
 2454791.766217 15.82703 0.02207 
 2454791.778168 15.77916 0.02421 
 2454791.790109 15.81873 0.02335 
 2454791.804332 15.84022 0.02436 
 2454791.813953 15.85106 0.02547 
 2454791.823579 15.83555 0.02542 
 2454791.833184 15.78803 0.02624 
 2454791.842981 15.85547 0.02667 
 2454791.852785 15.84245 0.02707 
 2454791.862588 15.80051 0.02672 
 2454791.872393 15.81491 0.03001 
 2454791.879815 15.82969 0.02966 
 2454791.887223 15.81096 0.02999 
 2454791.894639 15.81581 0.02251 
 2454791.902056 15.83231 0.03108 
 2454791.909472 15.82441 0.02639 
 2454792.751022 15.75195 0.02218 
 2454792.762982 15.79127 0.02337 
 2454792.774925 15.75189 0.02366 
 2454792.786881 15.84135 0.02230 
 2454792.801089 15.69297 0.02722 
 2454792.810696 15.85293 0.02502 
 2454792.820328 15.78683 0.02375 
 2454792.829947 15.80111 0.02463 
 2454792.849543 15.71937 0.03146 
 2454792.859322 15.83866 0.02650 
 2454792.880956 15.79272 0.02542 
 2454792.890567 15.83421 0.02512 
 2454792.900209 15.73860 0.02836 
 2454792.909810 15.76187 0.02987 
 2454793.782131 16.02277 0.02245 
 2454793.796326 16.02441 0.02233 
 2454793.805958 15.98253 0.01891 
 2454793.844780 15.99340 0.02200 
 2454793.854589 16.02363 0.02332 
 2454793.885985 15.89555 0.02437 
 2454794.745234 15.80811 0.02213 
 2454794.757199 15.81373 0.02417 
 2454794.769160 15.83300 0.02307 
 2454794.781112 15.83898 0.02336 
 2454794.795316 15.82168 0.02266 
 2454794.804920 15.82010 0.02416 
 2454794.814564 15.81939 0.02342 
 2454794.824187 15.78827 0.02439 
 2454794.833980 15.84306 0.02412 
 2454794.843778 15.80613 0.02377 
 2454794.853582 15.83982 0.02411 
 2454794.865603 15.79535 0.02560 
 2454794.875209 15.83151 0.02587 
 2454794.884838 15.89899 0.02985 
 2454794.894453 15.82364 0.02827 
 2454794.904076 15.71330 0.05078 
