\INPUT_FILE = /mscadata/ETSS-prep/KELT/testall/raw/KELT_N02_lc_34612_V01_east_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Thu Oct 26, 04:52:02 2006"               
\STOP_DATE = "Mon Nov 24, 04:52:01 2008"               
\fixlen = T
\NUMRECORDS = 1680     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Apr 09, 16:37:19 2015
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|        double|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454080.661690 15.69943 0.02270 
 2454080.666207 15.71321 0.02296 
 2454080.670730 15.68705 0.02290 
 2454081.584867 15.76609 0.02200 
 2454081.589388 15.75136 0.02195 
 2454081.594752 15.74621 0.02237 
 2454081.600121 15.75491 0.02250 
 2454081.605490 15.77301 0.02232 
 2454081.610859 15.71305 0.02228 
 2454081.612967 15.75933 0.02214 
 2454081.617487 15.74900 0.02231 
 2454081.622001 15.77526 0.02219 
 2454081.626515 15.80861 0.02236 
 2454081.631028 15.74655 0.02233 
 2454081.635543 15.79851 0.02236 
 2454081.640064 15.76723 0.02234 
 2454081.644588 15.77335 0.02242 
 2454081.649104 15.73906 0.02241 
 2454081.653628 15.73364 0.02275 
 2454081.658144 15.77459 0.02305 
 2454081.662658 15.77273 0.02296 
 2454081.667181 15.74844 0.02327 
 2454082.584793 15.83580 0.02373 
 2454082.600035 15.86909 0.02503 
 2454082.605407 15.81998 0.02322 
 2454082.607516 15.84686 0.02436 
 2454082.612031 15.86675 0.02446 
 2454082.621058 15.78562 0.02596 
 2454082.634599 15.77935 0.02560 
 2454082.643627 15.85591 0.02537 
 2454082.648140 15.83836 0.02539 
 2454082.657167 15.78413 0.02365 
 2454082.661681 15.84910 0.02429 
 2454082.666195 15.80289 0.02463 
 2454083.584729 15.76437 0.02784 
 2454083.590092 15.77382 0.02484 
 2454083.595457 15.74290 0.02623 
 2454083.600819 15.77074 0.02551 
 2454083.606186 15.76216 0.02649 
 2454083.608289 15.75992 0.02583 
 2454083.617317 15.76814 0.02792 
 2454083.621832 15.72897 0.02600 
 2454083.630859 15.74308 0.02605 
 2454083.639887 15.75368 0.02702 
 2454083.644400 15.71430 0.02547 
 2454083.648914 15.75245 0.02523 
 2454083.653428 15.75013 0.02550 
 2454083.657941 15.71493 0.02636 
 2454093.584533 15.74662 0.02484 
 2454093.589262 15.74118 0.02579 
 2454093.593991 15.77929 0.02549 
 2454093.598720 15.75986 0.02507 
 2454093.603448 15.73839 0.02585 
 2454093.608175 15.68308 0.02490 
 2454093.612903 15.77771 0.02433 
 2454093.617633 15.75939 0.02515 
 2454093.622360 15.75292 0.02481 
 2454093.627085 15.76338 0.02378 
 2454093.631816 15.74438 0.02430 
 2454093.636543 15.74121 0.02470 
 2454107.589663 15.80555 0.02058 
 2454107.594392 15.79607 0.02099 
 2454108.590270 15.74757 0.02117 
 2454362.811170 15.74699 0.02731 
 2454362.815870 15.76163 0.02363 
 2454362.820568 15.79786 0.02828 
 2454362.826118 15.78328 0.02295 
 2454362.831660 15.78631 0.02315 
 2454362.837202 15.77340 0.02369 
 2454362.839398 15.76980 0.02346 
 2454362.844096 15.80095 0.02360 
 2454362.848785 15.73819 0.02355 
 2454362.853490 15.75613 0.02300 
 2454362.858188 15.76262 0.02308 
 2454362.862884 15.77960 0.02303 
 2454362.867571 15.82774 0.02214 
 2454362.872278 15.78674 0.02177 
 2454362.876975 15.79176 0.02218 
 2454362.881672 15.79842 0.02169 
 2454362.886360 15.79380 0.02248 
 2454362.891067 15.74443 0.02255 
 2454362.895763 15.77109 0.02172 
 2454362.900460 15.77252 0.02184 
 2454363.806169 15.80914 0.02194 
 2454363.810878 15.84549 0.02151 
 2454363.815586 15.81696 0.02119 
 2454363.821141 15.85755 0.02092 
 2454363.826697 15.83126 0.02074 
 2454363.832251 15.78886 0.02049 
 2454363.837804 15.86790 0.02077 
 2454363.840006 15.80795 0.02116 
 2454363.844712 15.85004 0.02107 
 2454363.849419 15.85168 0.02086 
 2454363.854125 15.81748 0.02154 
 2454363.858831 15.81153 0.02198 
 2454363.863537 15.82850 0.02132 
 2454363.868243 15.85630 0.02148 
 2454363.872950 15.81404 0.02116 
 2454363.877657 15.78813 0.02159 
 2454363.882363 15.82065 0.02130 
 2454363.887069 15.83155 0.02086 
 2454363.891778 15.83978 0.02072 
 2454363.896484 15.79847 0.02062 
 2454378.765906 15.83428 0.02613 
 2454378.770608 15.77854 0.02360 
 2454378.775311 15.93919 0.02233 
 2454378.780859 15.80097 0.02903 
 2454378.797505 15.81635 0.02372 
 2454378.809105 15.71353 0.01912 
 2454378.818509 15.77098 0.02329 
 2454378.823212 15.84454 0.02233 
 2454378.827915 15.79394 0.02290 
 2454378.832617 15.82426 0.02169 
 2454379.773070 15.84737 0.02597 
 2454379.806037 15.78335 0.02810 
 2454380.762093 15.80539 0.02272 
 2454380.766800 15.86750 0.02766 
 2454380.771508 15.80227 0.02391 
 2454380.777064 15.79811 0.02605 
 2454381.779066 15.79604 0.02313 
 2454381.784615 15.75019 0.02257 
 2454381.786813 15.77867 0.02277 
 2454381.791515 15.80032 0.02274 
